schemeId,schemeName,schemeLevel,state,category,department,beneficiaryType,targetGroup,genderEligible,ageLimit,minAge,maxAge,casteEligible,incomeRuleType,incomeLimit,maxIncomeINR,maritalStatus,occupationEligible,eligibility,otherEligibilityCriteria,benefitType,benefits,allBenefitsDescription,benefitAmount,benefitFrequency,applicationMode,applicationDeadline,officialApplyLink,officialSource,importantDocuments,requiredDocuments,remarks
SOC-001,Deendayal Antyodaya Yojana – National Urban Livelihoods Mission (DAY-NULM),Central,All States,Livelihood / Urban Development,Ministry of Housing & Urban Affairs (MoHUA),Urban Poor / SHGs,"Urban Poor, Street Vendors, Self-Help Groups, Women",All,18+,18,,All (priority to SC/ST/OBC/Minorities),BPL / SECC,BPL / SECC listed,,Any,"Urban Poor, SHG Members, Street Vendors",Urban poor identified via SECC/ULB lists; SHGs and community groups; implemented via Municipal Corporation,Must be resident of urban area; identified by Urban Local Body,Skill Training / Financial Assistance / Infrastructure,Community event & training funding; SHG support; skill training + placement; urban street vendor support; credit access,"Provides funding for community events and training programs, supports self-help groups (SHGs), offers skill training with placement assistance, and supports urban street vendors with livelihood options.","Varies by component (subsidy, loan, training support)",Ongoing / As per scheme component,Offline (via ULB / Municipal Corporation),Rolling / Ongoing,https://nulm.gov.in/,https://nulm.gov.in/,"Aadhaar Card, BPL/SECC Certificate, Bank Passbook","Aadhaar Card, Address Proof, BPL Certificate, Photograph, Bank Account Details","Implemented via Municipal Corporations. Also covers green jobs (waste management, recycling)."
SOC-002,PM SVANidhi – PM Street Vendor's AtmaNirbhar Nidhi,Central,All States (Urban Areas),Livelihood / Micro-Credit,Ministry of Housing & Urban Affairs (MoHUA) / Department of Financial Services,Street Vendors,"Urban Street Vendors, Hawkers, Thelewalas",All,18+,18,,All,No income limit,No income limit,,Any,Street Vendors only,Street vendors in urban areas who were vending on/before 24 March 2020; must have vending certificate/ID or Letter of Recommendation from ULB/TVC,Applicable only in States/UTs that have notified rules under Street Vendors Act 2014,Loan / Subsidy / Digital Incentive,Collateral-free working capital loan; interest subsidy 7% p.a.; digital transaction cashback up to ₹100/month; capacity building,"Provides working capital loans: ₹15,000 (1st tranche), ₹25,000 (2nd tranche), up to ₹50,000 (3rd tranche). Interest subsidy of 7% p.a. credited quarterly via DBT. Cashback for digital transactions. Extended till March 2030.","₹15,000 – ₹50,000 (loan; tiered)",One-time loan per tranche; renewed on repayment,Online (pmsvanidhi.mohua.gov.in) / Offline via CSC,March 2030,https://pmsvanidhi.mohua.gov.in/,https://pmsvanidhi.mohua.gov.in/,"Aadhaar Card, Vending Certificate / ULB ID / Letter of Recommendation","Aadhaar Card, Vending Certificate or ID issued by ULB, Bank Account Details, Mobile Number",Loan restructured in August 2025. Scheme active till March 2030. No collateral required.
SOC-003,National Urban Digital Mission (NUDM),Central,All States (Urban Areas),Digital Governance / Urban Infrastructure,Ministry of Housing & Urban Affairs / MeitY,Urban Local Bodies / City Residents,"Urban Residents, ULBs, City Administrations",All,No limit,,,All,No income limit,No income limit,,Any,"Urban Local Bodies, Government Officials",Implemented by Urban Local Bodies (ULBs); targets digitally underserved urban populations,Implementation-level scheme; individual citizens benefit via ULB-delivered services,Digital Infrastructure / Citizen Services,Digital infrastructure for cities; citizen service platforms; funding for tech-enabled civic services,"Creates digital infrastructure for urban governance, provides citizen service delivery platforms, funds technology-enabled civic services, and supports smart city governance solutions.",Institutional funding (not individual benefit amount),Ongoing,Implemented via ULB / State Government,Ongoing,https://nudm.gov.in/,https://nudm.gov.in/,N/A for individuals,"ULB registration, Government authorization letters",Policy/infrastructure scheme; benefits citizens indirectly via digital public services.
SKL-001,Pradhan Mantri Kaushal Vikas Yojana (PMKVY 4.0),Central,All States,Skill Development / Employment,Ministry of Skill Development and Entrepreneurship (MSDE) / NSDC,Youth / Job Seekers,"Unemployed Youth, School/College Dropouts, Job Seekers",All,15–45 years,15,45,All,No income limit,No income limit,,Any,"Unemployed, School/College dropouts",Indian citizen aged 15–45 years; unemployed or seeking skill upgrade; school/college dropout or graduate,Must not be currently employed; Aadhaar-linked bank account required; 10th pass preferred for most courses,Free Training / Certification / Financial Stipend,"Free skill training; nationally recognized NSQF certification; placement assistance; ₹8,000 stipend during training","Provides free short-term skill training in industry-relevant job roles under NSQF framework. Includes certification, placement support, and a training stipend of ₹8,000. Covers sectors like IT, healthcare, retail, construction, etc.","₹8,000 stipend during training period",One-time (per training course),Online (skillindiadigital.gov.in / pmkvyofficial.org) / Offline via PMKVY Training Centres,Rolling / Ongoing (FY 2022–2026),https://www.skillindiadigital.gov.in/,https://www.pmkvyofficial.org/,"Aadhaar Card, Educational Certificates","Aadhaar Card, Educational Mark Sheets, Bank Account Details, Passport-size Photo, Residence Proof",PMKVY 4.0 runs 2022–2026. Age limit up to 49 years for some specialized courses.
SKL-002,National Apprenticeship Promotion Scheme (NAPS),Central,All States,Skill Development / Employment,Ministry of Skill Development and Entrepreneurship (MSDE),Youth / Registered Establishments,"Youth (14–21 years), Graduates, Diploma Holders",All,14–21 years,14,21,All,No income limit,No income limit,,Any,"Youth seeking apprenticeship, Registered establishments",Minimum 8th pass; apprenticeship through registered establishments; age 14–21 years,Must register on Apprenticeship India portal; both apprentice and employer need to register,Stipend Support / On-the-Job Training,"Government reimburses 25% of stipend (max ₹1,500/month) to employer; practical on-the-job training; NATS certification","Government shares stipend cost: 25% or ₹1,500/month per apprentice (whichever is less) reimbursed to employer. Apprentices receive practical training and nationally recognized certificates.","Up to ₹1,500/month (government share of stipend)",Monthly (during apprenticeship period),Online (apprenticeshipindia.gov.in),Rolling / Ongoing,https://www.apprenticeshipindia.gov.in/,https://www.apprenticeshipindia.gov.in/,"Aadhaar Card, Educational Certificates","Aadhaar Card, Educational Certificates, Bank Account Details, Photograph",Incentivizes industry to hire apprentices. Both employer and apprentice must register on the portal.
HLT-001,Ayushman Bharat – Pradhan Mantri Jan Arogya Yojana (PM-JAY),Central,All States,Health / Insurance,Ministry of Health and Family Welfare / National Health Authority,Low Income Families (SECC),"BPL Families, Rural/Urban Poor, SECC-listed households",All,No limit (family-based),,,All (SECC priority),SECC / BPL,SECC database / BPL,,Any,All (SECC-listed),Low-income families identified in SECC 2011 database; approximately 50 crore beneficiaries; includes all family members,Beneficiary must be listed in PM-JAY database; Ayushman card required for hospital use,Health Insurance / Cashless Treatment,₹5 lakh health insurance per family per year; cashless treatment at empanelled hospitals; covers pre/post hospitalization; secondary and tertiary care,"Provides ₹5 lakh health coverage per family per year at empanelled government and private hospitals. Covers 1,500+ medical procedures, pre and post-hospitalization expenses, and daycare surgeries. Fully cashless and paperless.","Up to ₹5,00,000 per family per year",Annual coverage (renewable),Online (pmjay.gov.in) / Offline via Common Service Centres / Hospital,Ongoing,https://pmjay.gov.in/,https://pmjay.gov.in/,"Aadhaar Card, Ration Card, Ayushman Card","Aadhaar Card, Ration Card, SECC verification, Photograph",One of the world's largest health insurance programs. Ayushman card can be generated at CSCs or via Ayushman app.
HLT-002,Mission Vatsalya (Child Welfare & Protection),Central,All States,Child Welfare / Social Protection,Ministry of Women and Child Development,Children in Need of Care and Protection,"Orphaned/Destitute Children, Children in difficult circumstances",All,0–18 years,0,18,All,No income limit,No income limit,,N/A,Children / Child Care Institutions,"Children in need of care and protection; orphaned, destitute, or runaway children; children from conflict/disaster",Referred via Child Welfare Committees (CWC) or Juvenile Justice Boards,Protection / Financial Support / Rehabilitation,Child protection services; funding for Child Care Institutions (CCIs); foster care support; sponsorship; awareness programs; aftercare services,"Provides institutional and non-institutional child care services. Supports CCIs with funds. Covers foster care, adoption, sponsorship, and aftercare for children aging out of institutions.","₹2,000–₹4,000/month per child (institutional care support)",Monthly / As needed,Offline (via Child Welfare Committee / District Administration),Ongoing,https://wcd.nic.in/,https://wcd.nic.in/,"Birth Certificate (if available), Identity Documents","CWC referral, Birth Certificate, Medical Records (if any)","Merged scheme covering child protection, CCIs, foster care, and sponsorship under one umbrella."
AGR-001,Sub-Mission on Agricultural Extension (SMAE),Central,All States,Agriculture / Extension Services,Ministry of Agriculture & Farmers Welfare (ATMA),Farmers / FPOs / Extension Agencies,"Farmers, Farmer Producer Organisations, Agriculture Extension Workers",All,18+,18,,All,No strict income limit,Applicable to farmers,,Any,"Farmers, FPOs, Krishi Vigyan Kendras, Extension Agencies","Farmers, FPOs, and extension agencies; institutions running Krishi Melas, farmer workshops, and demonstration programs",Projects submitted through ATMA / state agriculture departments,Training Funding / Awareness Programs,Funding for farmer awareness programs; demonstration events; Krishi Melas; training camps; agricultural extension activities,"Provides financial support for organizing farmer awareness programs, demonstration events, Krishi Melas, and training camps. Supports Farmer Field Schools and exposure visits.",Project-based funding (varies),Annual / Project-based,Offline (via State Agriculture Department / ATMA),Annual (state-wise),https://agricoop.nic.in/,https://agricoop.nic.in/,"Land Records, Farmer Registration, Aadhaar","Farmer ID, Land Records, Bank Account, Aadhaar",Implemented through Agricultural Technology Management Agency (ATMA) at district level.
AGR-002,Rashtriya Krishi Vikas Yojana (RKVY-RAFTAAR),Central,All States,Agriculture / Innovation,Ministry of Agriculture & Farmers Welfare,State Governments / Agri Startups / Institutions,"Farmers, Agri Entrepreneurs, State Agriculture Depts, Startups",All,18+ (for entrepreneurs),18,,All,No income limit,No income limit,,Any,"Farmers, Agri Startups, FPOs, State Governments","State governments, agricultural institutions, agri-startups, and innovators in agriculture sector",RAFTAAR component specifically for startups (agri-preneurs); incubation and innovation funding available,Financial Support / Grant / Innovation Funding,Financial support for agri projects; startup & innovation funding; pilot projects; agri-infrastructure development,"Flexible block grant to states for agriculture development. RAFTAAR component funds agri-startups with up to ₹25 lakh seed funding. Covers innovation events, pilot projects, value chain development.",Up to ₹25 lakh (startup/innovation component); state-level grants vary,Annual / Project-based,Offline (via State Agriculture Dept) / Online for startups via RKVY portal,Annual,https://rkvy.nic.in/,https://rkvy.nic.in/,"Project Proposal, Land Records, Business Plan (for startups)","Project Proposal, Aadhaar, PAN, Business Registration (for startups)",RAFTAAR = Remunerative Approaches for Agriculture and Allied sector Rejuvenation. Incubation support for agri-startups.
INF-001,MPLADS – Members of Parliament Local Area Development Scheme,Central,All States,Infrastructure / Community Development,Ministry of Statistics and Programme Implementation (MoSPI),Local Communities / District Authorities,"Rural and Urban Residents, Local Communities",All,No limit,,,All,No income limit,No income limit,,Any,All citizens (via MP recommendation),Projects proposed by MP for local area development; executed by District Authority; works for public use,Projects must be durable and for public benefit; proposal routed through respective MP's office,Infrastructure / Community Assets,"₹5 crore per MP per year for local development; parks, community halls, public assets, roads, schools, water supply","Each MP can recommend works worth ₹5 crore annually for their constituency. Covers construction of community halls, roads, water supply, parks, schools, and other public infrastructure.",₹5 crore per MP per year,Annual,Offline (via MP's office / District Collector),Annual,https://www.mplads.gov.in/,https://www.mplads.gov.in/,"Project proposal, Land clearance, NOC from local body","Project Proposal, Technical Estimate, Land Documents, NOC",Works executed by District Authority/Local Body. Not a direct individual benefit scheme.
