Scheme_ID,Scheme_Name,State,Scheme_Level,Department,Occupation_Eligible,Gender_Eligible,Category_Eligible,Caste_Eligible,Min_Age,Max_Age,Max_Income_INR,Income_Rule_Type,Marital_Status,Other_Eligibility_Criteria,Beneficiary_Type,Benefit_Type,Benefit_Amount,Benefit_Frequency,All_Benefits_Description,Application_Mode,Application_Deadline,Important_Documents,Official_Apply_Link,Official_Source,Remarks
CHD_01,Integrated Child Development Services (ICDS),India,Central,Women & Child Development,Not Applicable,All,All,All,0,6,NA,NO_LIMIT,Not Applicable,Registration at Anganwadi,Children 0–6,Nutrition & Health,In-kind services,Daily/Periodic,"Nutrition, immunization, pre-school education",Anganwadi,Open,Birth Certificate; Anganwadi Registration,https://icds-wcd.nic.in,MWCD,Confirmed
CHD_02,POSHAN Abhiyaan,India,Central,Women & Child Development,Not Applicable,All,All,All,0,6,NA,NO_LIMIT,Not Applicable,Focus on malnutrition,Children 0–6 & Mothers,Nutrition Support,Service-based,Continuous,Reduces stunting and undernutrition,Automatic,NA,Birth Certificate,https://poshanabhiyaan.gov.in,MWCD,Confirmed
CHD_03,Janani Suraksha Yojana,India,Central,Health & Family Welfare,Not Applicable,Female,All,All,0,1,NA,NO_LIMIT,Any,Institutional delivery,Newborns via mother,Cash Incentive,"₹1,000–₹1,400",One-time,Promotes institutional delivery,Hospital,At delivery,Aadhaar;Hospital Discharge,https://nhm.gov.in,MoHFW,Confirmed
CHD_04,Mission Indradhanush,India,Central,Health & Family Welfare,Not Applicable,All,All,All,0,5,NA,NO_LIMIT,Not Applicable,Partially/non-immunized child,Children 0–5,Immunization,Free vaccines,As per schedule,Universal immunization coverage,Health Camps,Campaign-based,Immunization Card,https://nhm.gov.in,MoHFW,Confirmed
CHD_05,Pradhan Mantri Matru Vandana Yojana (Child-linked),India,Central,Women & Child Development,Not Applicable,Female,All,All,0,1,NA,NO_LIMIT,Married,First living child,Infants via mother,Maternity Benefit,"₹5,000",Installments,Improves child nutrition,Anganwadi/Online,As per stages,Aadhaar;MCP Card,https://pmmvy.nic.in,MWCD,Confirmed
DIS_01,Indira Gandhi National Disability Pension Scheme,India,Central,Ministry of Rural Development,Unemployed/Any,All,All,All,18,59,100000,EXACT,Any,80% or more disability; BPL household,Persons with Severe Disabilities,Pension,₹300/month (+ state top-up),Monthly,Monthly pension support for PwDs,Offline,Open,Aadhaar;Disability Cert;BPL Card;Bank,https://nsap.nic.in,MoRD,Confirmed
DIS_02,ADIP Scheme (Aids & Appliances for PwDs),India,Central,Ministry of Social Justice & Empowerment,Any,All,All,All,0,120,300000,EXACT,Any,Minimum 40% disability,Persons with Disabilities,Assistive Devices,Free/Subsidized aids,As needed,"Wheelchairs, hearing aids, prosthetics",Offline (Camps),As per camp,Aadhaar;Disability Cert;Income Cert,https://disabilityaffairs.gov.in,MSJE,Confirmed
DIS_03,Scholarship for Students with Disabilities (Pre/Post Matric),India,Central,Ministry of Social Justice & Empowerment,Student,All,All,All,6,35,250000,EXACT,Any,Minimum 40% disability; enrolled in recognized institution,Students with Disabilities,Scholarship,Tuition + Allowance,Yearly,Education support for PwD students,Online,NSP Schedule,Aadhaar;Disability Cert;Income Cert;Admission Proof,https://scholarships.gov.in,NSP,Confirmed
DIS_04,Maharashtra Divyang Pension Scheme,Maharashtra,State,Social Justice Department,Unemployed/Any,All,All,All,18,59,100000,EXACT,Any,40% or more disability; MH resident,Persons with Disabilities (MH),Pension,"₹1,000/month",Monthly,State pension support for PwDs,Offline,Open,Aadhaar;Disability Cert;Domicile;Bank,https://sjsa.maharashtra.gov.in,GoM,Confirmed
DIS_05,Unique Disability ID (UDID) Card Scheme,India,Central,Ministry of Social Justice & Empowerment,Any,All,All,All,0,120,NA,NO_LIMIT,Any,Certified disability,Persons with Disabilities,Identity & Access,UDID Card,One-time,Single ID for accessing PwD schemes,Online,Open,Aadhaar;Disability Cert,https://www.swavlambancard.gov.in,MSJE,Confirmed
FARM_06,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),India,Central,Ministry of Agriculture,Farmer,All,All,All,18,65,NA,NO_LIMIT,Any,Landholding farmer; not income tax payer,Farmers,Income Support,"₹6,000/year",Yearly,Direct income support to eligible farmers,Online/Offline,Open,Aadhaar;Land Records;Bank,https://pmkisan.gov.in,GoI,Confirmed
FARM_07,Pradhan Mantri Fasal Bima Yojana (PMFBY),India,Central,Ministry of Agriculture,Farmer,All,All,All,18,65,NA,NO_LIMIT,Any,Crop sown in notified season,Crop Farmers,Crop Insurance,As per insured sum,Seasonal,Insurance against crop loss,Online/Bank,Seasonal,Aadhaar;Land Records;Bank,https://pmfby.gov.in,GoI,Confirmed
FARM_08,Soil Health Card Scheme,India,Central,Ministry of Agriculture,Farmer,All,All,All,18,65,NA,NO_LIMIT,Any,Cultivable land,Farmers,Advisory,Soil Health Card,Periodic,Soil testing & nutrient advisory,Offline,Open,Aadhaar;Land Records,https://soilhealth.dac.gov.in,GoI,Confirmed
